Rental Type,Bedrooms,Bathrooms,Furnished,Utilities Included,Neighborhood,Proximity to Transit,Total Rent Avg,Utility Cost Avg,Personal Income Avg,People in Unit,Parking,Concierge/Doorman,Game room,roof deck,Gym,Pet-friendly,Laundry facilities (no need to pay),Pool,Mail Room,No Additional Amenities,Total Rent w/ Utilities
Apartment,2.0,1.0,Furnished,"No, no utilities included",The Fenway/Kenmore,Very close,3500.0,,,3.0,0,0,0,0,0,0,0,0,1,0,3500.0
Apartment,3.0,1.0,Partially,"Yes, some utilities included",Roxbury,Very close,4500.0,175.0,3000.0,3.0,0,0,0,0,0,0,0,0,0,1,4675.0
Apartment,3.0,1.0,Unfurnished,"Yes, some utilities included",Roxbury,Very close,4500.0,,,3.0,0,0,0,0,0,0,0,0,0,1,4500.0
Apartment,4.0,1.0,Partially,"No, no utilities included",Roxbury,Very close,4500.0,125.0,,4.0,0,0,0,0,0,0,0,0,0,1,4625.0
"Luxury apartments (include gym, in-unit laundry, appliances, concierge services, smart home features, parking lot, 24-hour security)",2.0,1.0,Unfurnished,"No, no utilities included",Mission Hill,Very close,3500.0,175.0,2000.0,2.0,0,0,0,0,0,0,1,0,1,0,3675.0
Apartment,4.0,1.5,Unfurnished,"Yes, some utilities included",The Fenway/Kenmore,Very close,5500.0,225.0,5000.0,4.0,0,0,0,0,0,0,0,0,0,1,5725.0
Apartment,3.0,2.0,Unfurnished,"No, no utilities included",Roxbury,Very close,5500.0,,2000.0,4.0,0,0,0,0,0,0,0,0,1,0,5500.0
Apartment,1.0,1.0,Partially,"Yes, all utilities included",The Fenway/Kenmore,Very close,1500.0,125.0,5000.0,2.0,0,0,0,0,0,0,0,0,0,1,1500.0
Apartment,4.0,2.0,Furnished,"Yes, some utilities included",Mission Hill,Very close,5500.0,125.0,2000.0,4.0,1,0,0,0,0,0,1,0,0,0,5625.0
Apartment,3.0,1.0,Unfurnished,"Yes, some utilities included",The Fenway/Kenmore,Very close,4500.0,75.0,5000.0,3.0,0,0,0,0,0,0,0,0,1,0,4575.0
Apartment,3.0,1.0,Unfurnished,"Yes, some utilities included",Mission Hill,Very close,3500.0,,,3.0,0,0,0,0,0,0,1,0,0,0,3500.0
Apartment,3.0,2.0,Partially,"No, no utilities included",The Fenway/Kenmore,Very close,5500.0,125.0,,3.0,0,0,0,0,0,1,0,0,0,0,5625.0
Multi-family homes,5.0,1.0,Partially,"No, no utilities included",Mission Hill,Very close,5500.0,175.0,,4.0,0,0,0,0,0,0,0,0,0,1,5675.0
Apartment,2.0,1.0,Unfurnished,"Yes, some utilities included",Mission Hill,Very close,2500.0,75.0,2000.0,2.0,0,0,0,0,0,0,0,0,0,1,2575.0
Apartment,2.0,1.0,Partially,"Yes, some utilities included",The Fenway/Kenmore,Very close,3500.0,2000.0,,2.0,0,0,0,0,0,0,0,0,0,1,5500.0
Apartment,3.0,2.0,Unfurnished,"No, no utilities included",Mission Hill,Very close,4500.0,125.0,3000.0,3.0,0,0,0,0,0,1,1,0,1,0,4625.0
Apartment,2.0,1.0,Unfurnished,"Yes, some utilities included",The Fenway/Kenmore,Very close,3500.0,125.0,,2.0,0,0,0,0,0,0,0,0,0,1,3625.0
Apartment,3.0,1.5,Unfurnished,"No, no utilities included",Roxbury,Very close,3500.0,175.0,,5.0,1,0,0,0,0,0,0,0,0,0,3675.0
"Luxury apartments (include gym, in-unit laundry, appliances, concierge services, smart home features, parking lot, 24-hour security)",2.0,2.0,Unfurnished,"No, no utilities included",Downtown,Very close,5500.0,125.0,,2.0,1,1,0,0,1,1,1,1,1,0,5625.0
