Personal_Income_Avg,Total_Rent_Avg,Neighborhood
5384.615384615385,3500.0,The Fenway/Kenmore
3000.0,4500.0,Roxbury
4833.333333333333,4500.0,Roxbury
4833.333333333333,4500.0,Roxbury
2000.0,3500.0,Mission Hill
5000.0,5500.0,The Fenway/Kenmore
2000.0,5500.0,Roxbury
5000.0,1500.0,The Fenway/Kenmore
3000.0,4318.181818181818,Mission Hill
2000.0,5500.0,Mission Hill
5000.0,4500.0,The Fenway/Kenmore
3000.0,3500.0,Mission Hill
5384.615384615385,5500.0,The Fenway/Kenmore
3000.0,5500.0,Mission Hill
2000.0,2500.0,Mission Hill
5384.615384615385,3500.0,The Fenway/Kenmore
6000.0,4409.090909090909,Downtown
3000.0,4500.0,Mission Hill
5384.615384615385,3500.0,The Fenway/Kenmore
4833.333333333333,3500.0,Roxbury
6000.0,5500.0,Downtown
3000.0,5500.0,Mission Hill
3000.0,5500.0,Mission Hill
3000.0,1500.0,Mission Hill
5000.0,1500.0,Waterfront
2000.0,4500.0,Mission Hill
3000.0,5500.0,Mission Hill
3000.0,6500.0,The Fenway/Kenmore
2000.0,3500.0,Mission Hill
3000.0,1500.0,Mission Hill
3000.0,4500.0,Mission Hill
2000.0,5500.0,The Fenway/Kenmore
4833.333333333333,5500.0,Roxbury
7000.0,4500.0,Roxbury
3000.0,3500.0,Mission Hill
6000.0,3500.0,Downtown
4833.333333333333,6500.0,Roxbury
5384.615384615385,3500.0,The Fenway/Kenmore
3000.0,5500.0,Mission Hill
6000.0,3500.0,Downtown
3000.0,4500.0,Mission Hill
6000.0,5500.0,Downtown
3000.0,4500.0,Mission Hill
6000.0,6500.0,Downtown
7000.0,3500.0,Downtown
9000.0,6500.0,Mission Hill
6000.0,4409.090909090909,Downtown
3000.0,6500.0,Mission Hill
7000.0,3833.3333333333335,Beacon Hill
5000.0,4500.0,Jamaica Plain (JP)
3000.0,4500.0,Jamaica Plain (JP)
8000.0,5500.0,BackBay
6000.0,4409.090909090909,Downtown
5000.0,4500.0,Downtown
5000.0,3500.0,Downtown
5000.0,5500.0,Downtown
7000.0,5500.0,Downtown
8000.0,5357.142857142857,BackBay
8000.0,5500.0,BackBay
7000.0,3500.0,BackBay
5000.0,2500.0,North End
7000.0,2500.0,Beacon Hill
7000.0,2500.0,The Fenway/Kenmore
5000.0,3500.0,The Fenway/Kenmore
5384.615384615385,4500.0,The Fenway/Kenmore
5384.615384615385,4500.0,The Fenway/Kenmore
8000.0,6500.0,BackBay
8000.0,5500.0,BackBay
9000.0,5357.142857142857,BackBay
8000.0,5500.0,BackBay
5384.615384615385,3500.0,The Fenway/Kenmore
9000.0,5500.0,Beacon Hill
9000.0,3500.0,West End (residential area near the North End and TD Garden)
7000.0,3500.0,Waterfront
9000.0,3500.0,North End
8000.0,2500.0,West End (residential area near the North End and TD Garden)
7000.0,3500.0,Beacon Hill
8000.0,5500.0,BackBay
7000.0,2500.0,The Fenway/Kenmore
7000.0,2500.0,West End (residential area near the North End and TD Garden)
7000.0,2500.0,North End
9000.0,3500.0,Waterfront
5384.615384615385,3500.0,The Fenway/Kenmore
5384.615384615385,4500.0,The Fenway/Kenmore
5000.0,2500.0,The Fenway/Kenmore
9000.0,3500.0,The Fenway/Kenmore
5384.615384615385,2500.0,The Fenway/Kenmore
7000.0,3934.782608695652,The Fenway/Kenmore
5384.615384615385,6500.0,The Fenway/Kenmore
5384.615384615385,3934.782608695652,The Fenway/Kenmore
3000.0,3934.782608695652,The Fenway/Kenmore
5000.0,5000.0,Roxbury
9000.0,6500.0,Roxbury
9000.0,2500.0,South Boston
7000.0,3500.0,The Fenway/Kenmore
7000.0,1500.0,Downtown
9000.0,3500.0,Seaport District
9000.0,3500.0,Seaport District
3000.0,4500.0,Roxbury
3000.0,4500.0,Mission Hill
2000.0,2500.0,Mission Hill
